COCACommunity,COCA_clean,Colburn_clean,ColburnCommunity,Lat,Long,lat_sort
HINGHAM_MA,"Hingham, MA","Hingham, MA","Hingham, MA",42.23314,-70.88953,68
HOBUCKEN_NC,"Hobucken, NC","Hobucken, NC","Hobucken, NC",35.24551,-76.56721,141
HULL_MA,"Hull, MA","Hull, MA","Hull, MA",42.30206,-70.90783,66
HYANNIS_MA,"Hyannis, MA",,"Barnstable Town, MA",41.65249,-70.28811,88
HYANNISPORT_MA,"Hyannisport, MA",,"Barnstable Town, MA",41.6321,-70.30293,91
IPSWICH_MA,"Ipswich, MA","Ipswich, MA","Ipswich, MA",42.68451,-70.84464,56
ISLAND PARK_NY,"Island Park, NY","Island Park, NY","Island Park, NY",40.60535,-73.65544,120
ISLIP_NY,"Islip, NY","Islip, NY","Islip, NY",40.73547,-73.2164,118
JAMESTOWN_RI,"Jamestown, RI","Jamestown, RI","Jamestown, RI",41.51973,-71.37108,97
JONESPORT_ME,"Jonesport, ME","Jonesport, ME","Jonesport, ME",44.53105,-67.60301,9
KENNEBUNKPORT_ME,"Kennebunkport, ME","Kennebunkport, ME","Kennebunkport, ME",43.36173,-70.47673,46
KITTERY_KITTERY_POINT_ME,"Kittery Kittery Point, ME","Kittery Kittery Point, ME","Kittery Kittery Point, ME",43.08813,-70.73614,50
LITTLE COMPTON_RI,"Little Compton, RI","Little Compton, RI","Little Compton, RI",41.5101,-71.17116,98
LUBEC_ME,"Lubec, ME","Lubec, ME","Lubec, ME",44.85859,-66.98359,3
MACHIASPORT_ME,"Machiasport, ME","Machiasport, ME","Machiasport, ME",44.69725,-67.39552,4
MANCHESTER_MA,"Manchester, MA","Manchester-By-The-Sea, MA","Manchester-By-The-Sea, MA",42.56231,-70.76028,59
MARBLEHEAD_MA,"Marblehead, MA","Marblehead, MA","Marblehead, MA",42.49996,-70.8578,61
MARSHFIELD_GREEN_HARBOR_CEDAR_CREST/MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA","Marshfield Green Harbor-Cedar Crest Marshfield Hills Ocean Bluff-Brant Rock, MA","Marshfield Green Harbor-Cedar Crest Marshfield Hills Ocean Bluff-Brant Rock, MA",42.09175,-70.70559,70
MATINICUS_ME,"Matinicus, ME","Matinicus Isle, ME","Matinicus Isle, ME",43.92374,-68.8405,32
MATTITUCK_NY,"Mattituck, NY","Mattituck, NY","Mattituck, NY",41.0004,-72.54118,113
MENEMSHA_MA,"Menemsha, MA",,"Chilmark, MA",41.3514,-70.7639,107
MILBRIDGE_ME,"Milbridge, ME","Milbridge, ME","Milbridge, ME",44.53536,-67.88083,8
MONTAUK_NY,"Montauk, NY","Montauk, NY","Montauk, NY",41.03594,-71.95451,112
MORICHES_NY,"Moriches, NY","Moriches, NY","Moriches, NY",40.80541,-72.82699,117
NAHANT_MA,"Nahant, MA","Nahant, MA","Nahant, MA",42.42656,-70.92228,63
NANTUCKET_MA,"Nantucket, MA","Nantucket, MA","Nantucket, MA",41.2848,-70.09917,109
NEW BEDFORD_MA,"New Bedford, MA","New Bedford, MA","New Bedford, MA",41.63622,-70.93421,90
NEW LONDON_CT,"New London, CT","New London, CT","New London, CT",41.35565,-72.09952,105
NEW SHOREHAM_RI,"New Shoreham, RI","New Shoreham, RI","New Shoreham, RI",41.19464,-71.57238,110
NEWBURYPORT_MA,"Newburyport, MA","Newburyport, MA","Newburyport, MA",42.81236,-70.8911,55
NEWINGTON_NH,"Newington, NH","Newington, NH","Newington, NH",43.10009,-70.83367,49
NEWPORT NEWS_VA,"Newport News, VA","Newport News, VA","Newport News, VA",37.08708,-76.47301,136
NEWPORT_RI,"Newport, RI","Newport, RI","Newport, RI",41.4901,-71.31283,99
NORTH_KINGSTOWN_SAUNDERSTOWN_RI,"North Kingstown Saunderstown, RI","North Kingstown Saunderstown, RI","North Kingstown Saunderstown, RI",41.57226,-71.44849,93
OAK BLUFFS_MA,"Oak Bluffs, MA","Oak Bluffs, MA","Oak Bluffs, MA",41.45716,-70.5561,101
OCEAN CITY_MD,"Ocean City, MD","Ocean City, MD","Ocean City, MD",38.32552,-75.08829,131
OGUNQUIT_ME,"Ogunquit, ME","Ogunquit, ME","Ogunquit, ME",43.24684,-70.59862,47
ORIENTAL_NC,"Oriental, NC","Oriental, NC","Oriental, NC",35.031,-76.69299,143
ORLEANS_MA,"Orleans, MA","Orleans, MA","Orleans, MA",41.78984,-69.98973,77
OWLS HEAD_ME,"Owls Head, ME","Owls Head, ME","Owls Head, ME",44.0823,-69.05726,24
PEMBROKE_ME,"Pembroke, ME","Pembroke, ME","Pembroke, ME",44.91681,-67.13496,1
PLYMOUTH_MA,"Plymouth, MA","Plymouth, MA","Plymouth, MA",41.95845,-70.66726,74
POINT  PLEASANT_NJ,"Point Pleasant, NJ","Point Pleasant, NJ","Point Pleasant, NJ",40.59233,-73.58068,121
POINT JUDITH_RI,"Point Judith, RI","Narragansett Point Judith, RI","Narragansett Point Judith, RI",40.08317,-74.06819,123
POINT LOOKOUT_NY,"Point Lookout, NY","Point Lookout, NY","Point Lookout, NY",41.36538,-71.48672,104
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,"Port Clyde Tenants Harbor Saint George Spruce Head, ME","Port Clyde-Tenants Harbor Saint George Spruce Head, ME","Port Clyde-Tenants Harbor Saint George Spruce Head, ME",43.92731,-69.25282,30
PORTLAND_ME,"Portland, ME","Portland, ME","Portland, ME",43.6591,-70.25682,43
PORTSMOUTH_NH,"Portsmouth, NH","Portsmouth, NH","Portsmouth, NH",43.07176,-70.76255,51
PROVINCETOWN_MA,"Provincetown, MA","Provincetown, MA","Provincetown, MA",42.05075,-70.18375,71
REEDVILLE_DISTRICT_5_VA,"Reedville District 5, VA","Reedville District 5 Northumberland County, VA","Reedville District 5 Northumberland County, VA",37.84207,-76.27578,133
ROCKLAND_ME,"Rockland, ME","Rockland, ME","Rockland, ME",44.10369,-69.10893,23
ROCKPORT_MA,"Rockport, MA","Rockport, MA","Rockport, MA",42.65565,-70.62036,57
ROCKPORT_ME,"Rockport, ME","Rockport, ME","Rockport, ME",44.18448,-69.0761,20
RYE_NH,"Rye, NH","Rye, NH","Rye, NH",43.00193,-70.76955,52
