COCA_clean,TimeHorizon,social_impact_raw,social_impact_presacledchange,social_impact_pretranschange,social_impact_fullyscaled,social_impact_fullytrans
"Ipswich, MA",2055,-3.944488754,0.482733534,0.357341453,0,0
"Island Park, NY",2055,-20.598254,0.326426197,-0.523733266,0,-0
"Islip, NY",2055,4.036357314,0.557639406,0.779571598,0,0
"Jamestown, RI",2055,1.967007041,0.538217093,0.670091719,0,0
"Jonesport, ME",2055,-51.408165593999996,1.4925684004,-0.5688713012,0.3665957474666666,-0.1397227757333333
"Kennebunkport, ME",2055,-69.08982076800001,1.0147603840000001,-1.8439427968000002,0.2325492546666667,-0.4225702242666667
"Kittery Kittery Point, ME",2055,-32.425626792,0.3193690272,-1.0362603156,0.017742723733333327,-0.05757001753333332
"Little Compton, RI",2055,13.617647162,1.167321916,1.852500272,0.19455365266666663,0.3087500453333333
"Lubec, ME",2055,-14.726814948000001,0.797338071,0.2397188628,0.11812415866666666,0.0355139056
"Machiasport, ME",2055,-22.83257712,1.0331129784,0.15049578719999998,0.2008830791333333,0.02926306973333333
"Manchester, MA",2055,-26.19988723,0.273850916,-0.820090117,0,-0
"Marblehead, MA",2055,-28.55645959,0.251732822,-0.944765606,0,-0
"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA",2055,-14.41448542,0.384465228,-0.19657829,0,-0
"Matinicus, ME",2055,-92.82344016,1.207807896,-2.646759208,0.301951974,-0.661689802
"Mattituck, NY",2055,33.1011847,0.830433318,2.317258978,0,0
"Menemsha, MA",2055,-0.8317754368000001,1.1356549578000001,1.2012525338000002,0.20648271960000003,0.21840955160000006
"Milbridge, ME",2055,-51.223357830000005,1.078498677,-1.0119150449999998,0.23966637266666668,-0.22487000999999998
"Montauk, NY",2055,24.997526226,2.1057386616000002,3.3601999068,0.5069370852,0.8089370146
"Moriches, NY",2055,51.16766679,1,3.273074098,0,0
"Nahant, MA",2055,-38.78818513,0.155700859,-1.486079512,0,-0
"Nantucket, MA",2055,5.2997074956,0.6734479068,0.959614962,0.03741377259999999,0.05331194233333332
"New Bedford, MA",2055,14.737925625999999,1.17783652,1.911769094,0.19630608666666666,0.31862818233333334
"New London, CT",2055,0.388569435,0.523402343,0.586583788,0,0
"New Shoreham, RI",2055,-51.106671836000004,0.6637895814000001,-1.4585628046,0.12068901480000002,-0.26519323720000004
"Newburyport, MA",2055,-12.23849787,0.404888406,-0.081456719,0,-0
"Newington, NH",2055,-88.256800934,1.1467179591999999,-2.5183644353999997,0.28165002506666664,-0.6185456507999999
"Newport News, VA",2055,-7.78130051,0.446722349,0.154353253,0,0
"Newport, RI",2055,-5.513582733,0.46800648,0.274327852,0,0
"North Kingstown Saunderstown, RI",2055,-1.932422734,0.501618193,0.463790684,0,0
"Oak Bluffs, MA",2055,0.308041296,0.522646529,0.582323412,0,0
"Ocean City, MD",2055,-7.9980698916,0.8604920898,0.5957060562,0.1274803096,0.08825274906666666
"Ogunquit, ME",2055,-39.147894,0.5681290122,-1.0522889856000002,0.08416726106666667,-0.15589466453333334
"Oriental, NC",2055,0.2605828992,1.3538096494,1.4854547681999999,0.2777045434666666,0.3047086704
"Orleans, MA",2055,23.11844952,0.736738305,1.789118015,0,0
"Owls Head, ME",2055,-60.16283321400001,0.5787911184000001,-1.9376829758000003,0.10523474880000003,-0.3523059956000001
"Pembroke, ME",2055,-7.2043095732,0.5560888848,0.2980844808,0.030893826933333327,0.01656024893333333
"Plymouth, MA",2055,-21.07021501,0.32199651,-0.548702569,0,-0
"Point Pleasant, NJ",2055,-3.620458928,0.485774783,0.374484393,0,0
"Point Judith, RI",2055,-2.687890138,1.014282942,0.989848704,0.16904715699999998,0.16497478399999999
"Point Lookout, NY",2055,-18.028937046,0.870296394,0.178223922,0.145049399,0.029703987
"Port Clyde Tenants Harbor Saint George Spruce Head, ME",2055,-103.630910368,0.7945189564,-3.5581489464000002,0.18694563679999998,-0.8372115167999999
"Portland, ME",2055,-42.966358824,0.22043681880000002,-1.5939223452,0.012246489933333332,-0.08855124139999998
"Portsmouth, NH",2055,-36.78677496,0.174485505,-1.380194034,0,-0
"Provincetown, MA",2055,14.782007262,1.178250256,1.914101252,0.19637504266666667,0.31901687533333334
"Reedville District 5, VA",2055,75.03756,2.783301824,6.234000276,0.695825456,1.558500069
"Rockland, ME",2055,-58.9424596,0.486294116,-1.986323848,0.08104901933333333,-0.33105397466666664
"Rockport, MA",2055,-35.994277499999995,0.28587472199999997,-1.2250613388,0.015881928999999996,-0.06805896326666665
"Rockport, ME",2055,-66.452799696,0,-2.8364827499999996,0,-0.15758237499999997
"Rye, NH",2055,-62.402079132000004,0.3498720768,-2.2825618002000003,0.05183290026666666,-0.33815730373333336
"Sandwich East Sandwich Forestdale, MA",2055,-5.322705269,0.469798,0.284426307,0,0
"Saugus, MA",2055,-34.96149,0.191617092,-1.283626536,0,-0
"Scarborough, ME",2055,-30.364710852,0.3387121764,-0.9272266584,0.01881734313333333,-0.05151259213333332
"Scituate North Scituate, MA",2055,-46.689678546,0.2894419052,-1.6777009298,0.027565895733333328,-0.1597810409333333
"Sea Isle City, NJ",2055,11.000675584,1.14275979,1.714048248,0.19045996499999998,0.285674708
