COCACommunity,COCA_clean,TimeHorizon,ClimateScenario,EnsembleStat,EmergingSpecies,EmergingSpecies_rescaled
FAIRHAVEN_MA,"Fairhaven, MA",2100,rcp85,mean,11,0.43478260869565216
FALL RIVER_MA,"Fall River, MA",2055,rcp85,mean,6,0.22727272727272727
FALL RIVER_MA,"Fall River, MA",2100,rcp85,mean,8,0.30434782608695654
FALMOUTH_MA,"Falmouth, MA",2055,rcp85,mean,6,0.22727272727272727
FALMOUTH_MA,"Falmouth, MA",2100,rcp85,mean,7,0.2608695652173913
FREEPORT_ME,"Freeport, ME",2055,rcp85,mean,10,0.4090909090909091
FREEPORT_ME,"Freeport, ME",2100,rcp85,mean,10,0.391304347826087
FREEPORT_NY,"Freeport, NY",2055,rcp85,mean,4,0.13636363636363635
FREEPORT_NY,"Freeport, NY",2100,rcp85,mean,6,0.21739130434782608
FRIENDSHIP_ME,"Friendship, ME",2055,rcp85,mean,17,0.7272727272727273
FRIENDSHIP_ME,"Friendship, ME",2100,rcp85,mean,20,0.8260869565217391
GEORGETOWN_ME,"Georgetown, ME",2055,rcp85,mean,14,0.5909090909090909
GEORGETOWN_ME,"Georgetown, ME",2100,rcp85,mean,18,0.7391304347826086
GLOUCESTER_MA,"Gloucester, MA",2055,rcp85,mean,9,0.36363636363636365
GLOUCESTER_MA,"Gloucester, MA",2100,rcp85,mean,15,0.6086956521739131
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,"Gouldsboro Corea Prospect Harbor, ME",2055,rcp85,mean,20,0.8636363636363636
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,"Gouldsboro Corea Prospect Harbor, ME",2100,rcp85,mean,22,0.9130434782608695
GREENPORT_NY,"Greenport, NY",2055,rcp85,mean,4,0.13636363636363635
GREENPORT_NY,"Greenport, NY",2100,rcp85,mean,8,0.30434782608695654
HAMPTON_BAYS_SHINNECOCK_NY,"Hampton Bays Shinnecock, NY",2055,rcp85,mean,5,0.18181818181818182
HAMPTON_BAYS_SHINNECOCK_NY,"Hampton Bays Shinnecock, NY",2100,rcp85,mean,6,0.21739130434782608
HAMPTON (HAMPTON COMPACT)_NH,"Hampton Hampton Compact, NH",2055,rcp85,mean,6,0.22727272727272727
HAMPTON (HAMPTON COMPACT)_NH,"Hampton Hampton Compact, NH",2100,rcp85,mean,12,0.4782608695652174
HAMPTON_VA,"Hampton, VA",2055,rcp85,mean,1,0
HAMPTON_VA,"Hampton, VA",2100,rcp85,mean,1,0
HANCOCK_ME,"Hancock, ME",2055,rcp85,mean,15,0.6363636363636364
HANCOCK_ME,"Hancock, ME",2100,rcp85,mean,17,0.6956521739130435
HARPSWELL_BAILEY_ISLAND_ME,"Harpswell Bailey Island, ME",2055,rcp85,mean,15,0.6363636363636364
HARPSWELL_BAILEY_ISLAND_ME,"Harpswell Bailey Island, ME",2100,rcp85,mean,20,0.8260869565217391
HARWICHPORT_MA,"Harwichport, MA",2055,rcp85,mean,8,0.3181818181818182
HARWICHPORT_MA,"Harwichport, MA",2100,rcp85,mean,9,0.34782608695652173
HINGHAM_MA,"Hingham, MA",2055,rcp85,mean,10,0.4090909090909091
HINGHAM_MA,"Hingham, MA",2100,rcp85,mean,13,0.5217391304347826
HOBUCKEN_NC,"Hobucken, NC",2100,rcp85,mean,1,0
HULL_MA,"Hull, MA",2055,rcp85,mean,12,0.5
HULL_MA,"Hull, MA",2100,rcp85,mean,17,0.6956521739130435
HYANNIS_MA,"Hyannis, MA",2055,rcp85,mean,8,0.3181818181818182
HYANNIS_MA,"Hyannis, MA",2100,rcp85,mean,8,0.30434782608695654
HYANNISPORT_MA,"Hyannisport, MA",2055,rcp85,mean,7,0.2727272727272727
HYANNISPORT_MA,"Hyannisport, MA",2100,rcp85,mean,11,0.43478260869565216
IPSWICH_MA,"Ipswich, MA",2055,rcp85,mean,11,0.45454545454545453
IPSWICH_MA,"Ipswich, MA",2100,rcp85,mean,16,0.6521739130434783
ISLAND PARK_NY,"Island Park, NY",2055,rcp85,mean,7,0.2727272727272727
ISLAND PARK_NY,"Island Park, NY",2100,rcp85,mean,7,0.2608695652173913
ISLIP_NY,"Islip, NY",2055,rcp85,mean,5,0.18181818181818182
ISLIP_NY,"Islip, NY",2100,rcp85,mean,5,0.17391304347826086
JAMESTOWN_RI,"Jamestown, RI",2055,rcp85,mean,11,0.45454545454545453
JAMESTOWN_RI,"Jamestown, RI",2100,rcp85,mean,8,0.30434782608695654
JONESPORT_ME,"Jonesport, ME",2055,rcp85,mean,14,0.5909090909090909
JONESPORT_ME,"Jonesport, ME",2100,rcp85,mean,21,0.8695652173913043
KENNEBUNKPORT_ME,"Kennebunkport, ME",2055,rcp85,mean,14,0.5909090909090909
KENNEBUNKPORT_ME,"Kennebunkport, ME",2100,rcp85,mean,16,0.6521739130434783
KITTERY_KITTERY_POINT_ME,"Kittery Kittery Point, ME",2055,rcp85,mean,11,0.45454545454545453
KITTERY_KITTERY_POINT_ME,"Kittery Kittery Point, ME",2100,rcp85,mean,17,0.6956521739130435
LITTLE COMPTON_RI,"Little Compton, RI",2055,rcp85,mean,8,0.3181818181818182
LITTLE COMPTON_RI,"Little Compton, RI",2100,rcp85,mean,8,0.30434782608695654
