LatID,ID,Community,City,State,ColburnCommunity,Long,Lat,City_raw,City_raw_community,City_raw_short,City_label,meanLat
34,65,MATINICUS_ME,Matinicus,ME,"Matinicus Isle, ME",-68.840496,43.9237413,Matinicus,"Matinicus, ME",Matinicus,"Matinicus, ME",44.04937195714286
35,17,BRUNSWICK_ME,Brunswick,ME,"Brunswick, ME",-69.966996,43.9140162,Brunswick,"Brunswick, ME",Brunswick,"Brunswick, ME",44.04937195714286
36,105,SOUTH BRISTOL_ME,South Bristol,ME,"South Bristol, ME",-69.5611575,43.8639715,South Bristol,"South Bristol, ME",South Bristol,"South Bristol, ME",44.04937195714286
37,40,FREEPORT_ME,Freeport,ME,"Freeport, ME",-70.1031201,43.8570065,Freeport,"Freeport, ME",Freeport,"Freeport, ME",44.04937195714286
38,12,BOOTHBAY HARBOR_ME,Boothbay Harbor,ME,"Boothbay Harbor, ME",-69.6281014,43.8523045,Boothbay Harbor,"Boothbay Harbor, ME",Boothbay Harbor,"Boothbay Harbor, ME",44.04937195714286
39,108,SOUTHPORT_ME,Southport,ME,"Southport, ME",-69.6586568,43.8409158,Southport,"Southport, ME",Southport,"Southport, ME",44.04937195714286
40,39,FIVE ISLANDS_ME,Five Islands,ME,NA,-69.7111565,43.8239716,Five Islands,"Five Islands, ME",Five Islands,"Five Islands, ME",44.04937195714286
41,42,GEORGETOWN_ME,Georgetown,ME,"Georgetown, ME",-69.752359,43.8021196,Georgetown,"Georgetown, ME",Georgetown,"Georgetown, ME",44.04937195714286
42,49,HARPSWELL CENTER_ME,Harpswell Center,ME,NA,-69.9842148,43.801749,Harpswell Center,"Harpswell Center, ME",Harpswell Center,"Harpswell Center, ME",44.04937195714286
43,26,CUNDYS HARBOR_ME,Cundys Harbor,ME,NA,-69.8931025,43.7970272,Cundys Harbor,"Cundys Harbor, ME",Cundys Harbor,"Cundys Harbor, ME",44.04937195714286
44,48,HARPSWELL_BAILEY_ISLAND_ME,Harspwell/Bailey Island,ME,"Harpswell Bailey Island, ME",-69.9598343,43.7864342,Harspwell Bailey Island,"Harspwell Bailey Island, ME",Harspwell Bailey ...,"Harspwell Bailey ..., ME",44.04937195714286
45,120,WEST POINT_ME,West Point,ME,NA,-69.8644906,43.7470286,West Point,"West Point, ME",West Point,"West Point, ME",44.04937195714286
46,106,SOUTH HARPSWELL_ME,South Harpswell,ME,NA,-70.0140643,43.7420575,South Harpswell,"South Harpswell, ME",South Harpswell,"South Harpswell, ME",44.04937195714286
47,23,CHEBEAGUE ISLAND_ME,Chebeague Island,ME,"Chebeague Island, ME",-70.1074892,43.7416573,Chebeague Island,"Chebeague Island, ME",Chebeague Island,"Chebeague Island, ME",44.04937195714286
48,103,SMALL POINT_ME,Small Point,ME,NA,-69.8403236,43.7381401,Small Point,"Small Point, ME",Small Point,"Small Point, ME",44.04937195714286
49,87,PORTLAND_ME,Portland,ME,"Portland, ME",-70.2568189,43.6590993,Portland,"Portland, ME",Portland,"Portland, ME",44.04937195714286
50,98,SCARBOROUGH_ME,Scarborough,ME,"Scarborough, ME",-70.3344921,43.5901974,Scarborough,"Scarborough, ME",Scarborough,"Scarborough, ME",44.04937195714286
51,21,CAPE PORPOISE_ME,Cape Porpoise,ME,NA,-70.4384925,43.372079,Cape Porpoise,"Cape Porpoise, ME",Cape Porpoise,"Cape Porpoise, ME",44.04937195714286
52,58,KENNEBUNKPORT_ME,Kennebunkport,ME,"Kennebunkport, ME",-70.4767274,43.3617327,Kennebunkport,"Kennebunkport, ME",Kennebunkport,"Kennebunkport, ME",44.04937195714286
53,78,OGUNQUIT_ME,Ogunquit,ME,"Ogunquit, ME",-70.5986223,43.2468352,Ogunquit,"Ogunquit, ME",Ogunquit,"Ogunquit, ME",44.04937195714286
54,125,YORK_ME,York,ME,NA,-70.6482581,43.1617483,York,"York, ME",York,"York, ME",44.04937195714286
55,126,YORK HARBOR_ME,York Harbor,ME,"York Harbor, ME",-70.6456077,43.1367551,York Harbor,"York Harbor, ME",York Harbor,"York Harbor, ME",44.04937195714286
56,59,KITTERY_KITTERY_POINT_ME,Kittery/Kittery Point,ME,"Kittery Kittery Point, ME",-70.736137,43.0881256,Kittery Kittery Point,"Kittery Kittery Point, ME",Kittery Kittery P...,"Kittery Kittery P..., ME",44.04937195714286
57,72,NEWINGTON_NH,Newington,NH,"Newington, NH",-70.8336668,43.1000871,Newington,"Newington, NH",Newington,"Newington, NH",43.016183475000005
58,88,PORTSMOUTH_NH,Portsmouth,NH,"Portsmouth, NH",-70.7625532,43.0717552,Portsmouth,"Portsmouth, NH",Portsmouth,"Portsmouth, NH",43.016183475000005
59,95,RYE_NH,Rye,NH,"Rye, NH",-70.7695547,43.0019301,Rye,"Rye, NH",Rye,"Rye, NH",43.016183475000005
60,101,SEABROOK_NH,Seabrook,NH,"Seabrook, NH",-70.8655074,42.8909615,Seabrook,"Seabrook, NH",Seabrook,"Seabrook, NH",43.016183475000005
61,56,IPSWICH_MA,Ipswich,MA,"Ipswich, MA",-70.8446366,42.6845115,Ipswich,"Ipswich, MA",Ipswich,"Ipswich, MA",41.96883369375
62,92,ROCKPORT_MA,Rockport,MA,"Rockport, MA",-70.620363,42.6556505,Rockport,"Rockport, MA",Rockport,"Rockport, MA",41.96883369375
63,43,GLOUCESTER_MA,Gloucester,MA,"Gloucester, MA",-70.6619888,42.6159285,Gloucester,"Gloucester, MA",Gloucester,"Gloucester, MA",41.96883369375
64,10,BEVERLY_MA,Beverly,MA,"Beverly, MA",-70.880049,42.5584283,Beverly,"Beverly, MA",Beverly,"Beverly, MA",41.96883369375
65,63,MARBLEHEAD_MA,Marblehead,MA,"Marblehead, MA",-70.8578024,42.4999582,Marblehead,"Marblehead, MA",Marblehead,"Marblehead, MA",41.96883369375
66,97,SAUGUS_MA,Saugus,MA,"Saugus, MA",-71.0110473,42.4651421,Saugus,"Saugus, MA",Saugus,"Saugus, MA",41.96883369375
67,68,NAHANT_MA,Nahant,MA,"Nahant, MA",-70.922279,42.4265633,Nahant,"Nahant, MA",Nahant,"Nahant, MA",41.96883369375
68,13,BOSTON_MA,Boston,MA,"Boston, MA",-71.0588801,42.3600825,Boston,"Boston, MA",Boston,"Boston, MA",41.96883369375
69,53,HULL_MA,Hull,MA,"Hull, MA",-70.9078346,42.3020647,Hull,"Hull, MA",Hull,"Hull, MA",41.96883369375
70,25,COHASSET_MA,Cohasset,MA,"Cohasset, MA",-70.8036544,42.2417675,Cohasset,"Cohasset, MA",Cohasset,"Cohasset, MA",41.96883369375
